total_patients
--------------
3819          
avg_billing_amount
------------------
25434.91          
avg_length_of_stay
------------------
15.76             
total_billing_amount
--------------------
97822651.58         
pct_emergency_admissions
------------------------
33.31                   
Test_Results  admissions  avg_billing_amount  avg_length_of_stay
------------  ----------  ------------------  ------------------
Abnormal      1288        25248.17            15.61             
Normal        1285        25648.97            15.76             
Inconclusive  1273        25407.77            15.9              
Swanson, Morris and Woodard        2           22694.52            26.0                45389.05            
Sutton-Horton                      2           22059.5             15.0                44119.01            
Stone Ltd                          2           40006.52            6.0                 80013.03            
Stewart-Yu                         2           36288.56            1.0                 72577.13            
Stewart and Raymond Martinez,      2           3185.95             26.0                6371.9              
Stafford and Stokes Proctor,       2           28647.61            14.0                57295.22            
Sparks-Hawkins                     2           46309.98            2.0                 92619.95            
Sons and Morton                    2           49538.31            3.0                 99076.63            
Sons and Kramer                    2           21502.27            10.0                43004.53            
Sons and Frost                     2           7726.56             18.0                15453.11            
Sons and Fernandez                 2           33548.92            26.0                67097.83            
Sons Wood and                      2           39527.71            18.0                79055.41            
Sons Kelly and                     2           29089.87            5.0                 58179.74            
Sons Cruz and                      2           18687.01            2.0                 37374.03            
Sons Combs and                     2           4109.4              19.0                8218.81             
Solomon-Williams                   2           32245.65            3.0                 64491.3             
Snyder-Miller                      2           5646.64             7.0                 11293.27            
Smith-Schroeder                    2           1658.21             8.0                 3316.42             
Smith-Mendez                       2           40957.08            17.0                81914.16            
Smith-Marshall                     2           33697.29            15.0                67394.57            
Smith and Wallace, Garcia          2           43398.56            28.0                86797.11            
Smith Rodriguez and Watts,         2           15209.64            3.0                 30419.28            
Smith Lindsey, and Morrison        2           26774.01            30.0                53548.02            
Simpson Pratt, Johnson and         2           15602.4             27.0                31204.79            
Simpson Espinoza, and Thompson     2           26223.17            5.0                 52446.33            
Simon-Grant                        2           10785.56            11.0                21571.13            
Simmons LLC                        2           18057.93            5.5                 36115.85            
Short-Hayes                        2           32927.7             20.0                65855.4             
Shields Harris and Poole,          2           9265.55             7.0                 18531.11            
Shelton Scott, Castaneda and       2           34377.51            22.0                68755.01            
Scott-Rowland                      2           18790.34            10.0                37580.69            
Scott Inc                          2           33389.65            17.5                66779.3             
Scott Carroll Campbell, and        2           26536.61            12.0                53073.23            
Schneider Lopez, Henry and         2           16645.2             25.0                33290.4             
Schneider Group                    2           33692.23            17.5                67384.46            
Schmidt-Ford                       2           45675.18            24.0                91350.35            
Schaefer-Smith                     2           36587.4             27.0                73174.8             
Saunders-Perez                     2           17120.21            4.0                 34240.42            
Sanford-Stein                      2           8832.0              1.0                 17664.0             
Sanders-Carter                     2           37443.35            21.0                74886.71            
Sanchez, and Page Watkins          2           24744.15            16.0                49488.3             
Ryan and Jackson, Hoffman          2           34835.92            25.0                69671.84            
Russell-Gardner                    2           42570.09            30.0                85140.18            
Rubio Hammond, and Martinez        2           9534.31             20.0                19068.62            
Rowe-Harrison                      2           7840.16             1.0                 15680.31            
Romero-Santos                      2           51075.52            11.0                102151.04           
Rojas-Simpson                      2           12851.66            23.0                25703.32            
Rodriguez-Roberts                  2           12564.46            29.0                25128.91            
Rodriguez-Miller                   2           23197.71            11.0                46395.43            
Rodriguez-Johnson                  2           32566.77            4.0                 65133.54            
Rocha Reed, Brown and              2           48792.17            10.0                97584.35            
Robertson-Warren                   2           4126.44             30.0                8252.88             
Roberts-Davis                      2           42555.79            20.0                85111.58            
Richard-Robinson                   2           46128.45            28.0                92256.9             
Reese-Williams                     2           10019.74            9.0                 20039.48            
Reese Terry Mahoney, and           2           20962.79            15.0                41925.58            
Rangel Ltd                         2           8143.43             12.0                16286.86            
Ramos LLC                          2           44830.98            3.0                 89661.97            
Ramirez, and Alexander Bell        2           27841.38            18.0                55682.76            
Ramirez Long and Martin,           2           32858.48            17.0                65716.95            
Ramirez Group                      2           41551.54            12.0                83103.07            
Pugh-Edwards                       2           39037.59            16.0                78075.19            
Price PLC                          2           25507.12            28.0                51014.25            
Pierce-Navarro                     2           40075.91            22.0                80151.82            
Phillips-Alexander                 2           34402.04            6.0                 68804.08            
Perry-Garcia                       2           17192.1             29.0                34384.2             
Perkins-Jones                      2           7634.6              3.0                 15269.2             
Perez and Arnold Lewis,            2           43757.42            12.0                87514.83            
Pena-Stokes                        2           17661.28            4.0                 35322.55            
Pena Murray, Santos and            2           21248.65            20.0                42497.29            
Pearson Group                      2           4182.96             23.0                8365.92             
Paul Maxwell Sanchez, and          2           44432.57            23.0                88865.15            
Patel Ltd                          2           27036.75            24.0                54073.5             
Parsons-Martinez                   2           21888.47            25.0                43776.94            
Parker-Fuentes                     2           30370.44            28.0                60740.89            
Parker and Gonzales, Clements      2           22790.06            17.0                45580.13            
PLC Wood                           2           28076.46            2.0                 56152.91            
PLC Wong                           2           8031.51             9.0                 16063.02            
PLC Watkins                        2           23577.3             12.0                47154.6             
PLC Taylor                         2           45278.58            21.0                90557.17            
PLC Oliver                         2           33859.73            25.0                67719.46            
PLC Montoya                        2           8216.52             3.0                 16433.04            
PLC Knight                         2           33913.77            22.0                67827.54            
PLC Hart                           2           25501.81            16.0                51003.61            
PLC Hampton                        2           19688.03            5.0                 39376.06            
PLC Hamilton                       2           25993.5             28.0                51987.0             
PLC Gill                           2           28114.39            24.0                56228.77            
PLC Charles                        2           5199.87             7.0                 10399.73            
PLC Brown                          2           14704.51            19.5                29409.02            
PLC Adams                          2           10717.39            16.5                21434.77            
Osborn-Park                        2           39524.11            22.0                79048.22            
Ortiz-Mitchell                     2           28880.1             29.0                57760.19            
Ortega-York                        2           29012.13            2.0                 58024.25            
Oliver Singh, and Ortiz            2           2301.26             5.0                 4602.51             
Oliver LLC                         2           6017.08             19.0                12034.16            
Nicholson, and Nguyen Smith        2           22742.85            12.0                45485.7             
Nguyen-Gillespie                   2           9469.5              29.0                18939.0             
Nguyen Ltd                         2           16385.39            20.5                32770.77            
Newman-Jackson                     2           35845.83            5.0                 71691.66            
Newman Lynn, Williamson and        2           43127.69            26.0                86255.38            
Murphy Inc                         2           18690.21            17.0                37380.42            
Munoz Ward Benson, and             2           3990.87             11.0                7981.75             
Moses-Randall                      2           8690.27             28.0                17380.54            
Moses-Barajas                      2           3276.63             25.0                6553.25             
Montoya-Bruce                      2           17347.74            25.0                34695.48            
Montgomery and Howe Perez,         2           41050.89            12.0                82101.77            
Mitchell-Holt                      2           18083.01            6.0                 36166.02            
Mitchell, Williams Nguyen and      2           26668.1             17.0                53336.2             
Mitchell Inc                       2           9597.32             20.5                19194.65            
Mills-Gray                         2           46181.05            30.0                92362.09            
Miller-Moore                       2           21448.96            11.0                42897.92            
Miller, Robertson Mckay and        2           23311.77            25.0                46623.54            
Miller and Tapia White,            2           16406.63            25.0                32813.26            
Mendoza, Meyer and Massey          2           48224.54            12.0                96449.09            
Mendez-Jenkins                     2           48111.96            27.0                96223.92            
Meadows, Perry Brown and           2           38782.05            23.0                77564.11            
Mcpherson Group                    2           8507.09             14.0                17014.19            
Mckinney-Edwards                   2           42959.3             24.0                85918.6             
Mcintosh-Cantu                     2           44867.89            29.0                89735.77            
Mcdowell, Mckay Harris and         2           24742.16            21.0                49484.33            
Mcdonald Hall and Johnson,         2           5587.32             12.0                11174.64            
Mcdaniel-Hansen                    2           9306.59             27.0                18613.18            
Mccormick PLC                      2           2595.74             18.0                5191.49             
Mcclure Ltd                        2           47357.05            18.0                94714.11            
Mcclure Castro, and Bonilla        2           44753.73            7.0                 89507.46            
Mathews and Guzman Miranda,        2           48488.17            24.0                96976.34            
Massey Sutton Gregory, and         2           28124.0             13.0                56248.0             
Martinez-Hartman                   2           7985.39             12.0                15970.78            
Martinez, Leonard and Vega         2           31862.12            29.0                63724.24            
Martinez PLC                       2           29392.21            3.0                 58784.43            
Malone Ltd                         2           8128.93             2.0                 16257.86            
Lyons-Hansen                       2           11889.15            15.0                23778.31            
Ltd Wilcox                         2           28353.42            5.0                 56706.84            
Ltd West                           2           32252.86            30.0                64505.72            
Ltd Thomas                         2           35568.91            26.0                71137.82            
Ltd Stewart                        2           28322.05            27.0                56644.09            
Ltd Steele                         2           20030.58            27.0                40061.16            
Ltd Smith                          2           17034.69            12.5                34069.37            
Ltd Russell                        2           9961.45             10.0                19922.91            
Ltd Ray                            2           20771.88            30.0                41543.76            
Ltd Poole                          2           48160.7             6.0                 96321.41            
Ltd Perez                          2           32921.77            13.5                65843.54            
Ltd Patterson                      2           28814.76            21.0                57629.53            
Ltd Parrish                        2           33377.46            27.0                66754.92            
Ltd Murphy                         2           4558.22             17.0                9116.43             
Ltd Mercado                        2           5350.73             7.0                 10701.46            
Ltd Mendoza                        2           39954.88            24.0                79909.76            
Ltd Lopez                          2           23945.78            23.5                47891.56            
Ltd Jimenez                        2           38104.43            14.5                76208.86            
Ltd Dillon                         2           18470.93            25.0                36941.86            
Ltd Delgado                        2           31391.83            18.0                62783.65            
Ltd Campbell                       2           43054.64            28.0                86109.28            
Ltd Atkins                         2           41886.71            27.0                83773.42            
Lowe LLC                           2           28664.17            12.5                57328.33            
Long-Gonzales                      2           7249.42             21.0                14498.83            
Little-Green                       2           16078.53            2.0                 32157.06            
Lin-Cook                           2           35295.25            9.0                 70590.5             
Lewis-Steele                       2           38813.95            29.0                77627.89            
Lewis and Sons                     2           23235.85            12.0                46471.71            
Lee-Bradley                        2           11333.97            16.0                22667.94            
Lee, Johnson Fisher and            2           41955.28            8.0                 83910.57            
Lee, Gonzalez Mckay and            2           9303.21             3.0                 18606.41            
Lawrence and Smith Stewart,        2           14323.75            19.0                28647.49            
Lara-Allen                         2           47270.25            8.0                 94540.49            
Lara LLC                           2           5360.24             14.0                10720.48            
LLC Woods                          2           23331.71            30.0                46663.42            
LLC Williams                       2           42214.97            15.0                84429.94            
LLC Terry                          2           25792.31            14.0                51584.61            
LLC Ryan                           2           25543.95            13.0                51087.9             
LLC Hurst                          2           19734.34            22.0                39468.68            
LLC Henson                         2           27111.81            6.0                 54223.62            
LLC Delgado                        2           5136.3              26.0                10272.6             
LLC Davis                          2           17585.67            16.0                35171.34            
LLC Boyd                           2           18675.72            3.0                 37351.43            
Kramer-Hogan                       2           40787.18            14.0                81574.36            
Kramer, Morris Chang and           2           8335.97             30.0                16671.95            
Kline Ltd                          2           29981.16            1.0                 59962.33            
Kirby Group                        2           14703.72            9.0                 29407.44            
King-Baker                         2           34422.62            25.0                68845.24            
King Sons and                      2           41114.92            5.0                 82229.83            
Khan, Phillips Baker and           2           36675.46            25.0                73350.93            
Kemp-Munoz                         2           6312.61             21.0                12625.22            
Keith and Taylor, Stewart          2           34607.61            6.0                 69215.22            
Kaufman and Thomas Diaz,           2           26921.99            26.0                53843.97            
Joseph Inc                         2           13294.12            12.0                26588.24            
Jones-Rodriguez                    2           33734.15            22.0                67468.3             
Jones-Fowler                       2           45160.38            13.0                90320.77            
Jones, Vang Blair and              2           43718.65            27.0                87437.31            
Jones, Cooley Anderson and         2           21512.89            9.0                 43025.78            
Jones Nguyen Gonzalez, and         2           42260.68            8.0                 84521.36            
Jones Ltd                          2           9024.09             17.0                18048.18            
Jones Group                        2           24941.03            17.5                49882.05            
Johnson-Williams                   2           32197.0             6.0                 64393.99            
Johnson Gibbs Lee, and             2           46493.22            15.0                92986.44            
Johns-Soto                         2           32618.74            17.0                65237.49            
Jimenez-Huff                       2           1805.52             1.0                 3611.05             
Jimenez Group                      2           24573.39            15.0                49146.78            
Jackson-Carter                     2           15392.22            11.0                30784.45            
Jackson Collier and Delacruz,      2           644.37              9.0                 1288.75             
Inc Salinas                        2           20280.57            13.0                40561.14            
Inc Robinson                       2           27970.15            12.0                55940.3             
Inc Reid                           2           28010.44            18.0                56020.88            
Inc Perkins                        2           35596.98            28.0                71193.96            
Inc Myers                          2           44106.61            14.0                88213.21            
Inc Mcdonald                       2           36225.39            11.0                72450.77            
Inc Lewis                          2           19099.11            16.0                38198.23            
Inc Delgado                        2           10864.65            11.0                21729.3             
Inc Davis                          2           20506.9             22.5                41013.79            
Inc Cox                            2           23878.79            14.5                47757.59            
Inc Brown                          2           12795.2             8.0                 25590.4             
Inc Armstrong                      2           10480.1             2.0                 20960.2             
Hurst Warren, and Marsh            2           10590.46            6.0                 21180.92            
Hughes-Watson                      2           12499.76            2.0                 24999.53            
House-Graham                       2           5367.78             3.0                 10735.55            
Hoover LLC                         2           28204.63            9.0                 56409.27            
Hill-Ashley                        2           38447.51            10.0                76895.02            
Hill, Hancock and Mills            2           11309.95            9.0                 22619.9             
Hess Group                         2           36500.95            14.0                73001.9             
Hernandez and Peterson, Palmer     2           40905.44            11.0                81810.87            
Hernandez Ltd                      2           44900.67            30.0                89801.35            
Henry-Ho                           2           17820.92            21.0                35641.85            
Henry Spence and Faulkner,         2           22361.54            23.0                44723.07            
Henry Sons and                     2           4010.13             27.0                8020.27             
Harvey Group                       2           1878.01             19.0                3756.01             
Hartman-Wright                     2           2854.55             8.0                 5709.1              
Harrison, Thompson and Mitchell    2           2722.83             7.0                 5445.66             
Harris Wilson, Jacobson and        2           31391.44            4.0                 62782.89            
Hancock Perez Gill, and            2           24394.64            16.0                48789.28            
Hammond and Sons                   2           31912.82            22.0                63825.65            
Hammond and Kelley Williams,       2           45854.44            7.0                 91708.88            
Hamilton-Bradley                   2           21544.37            14.0                43088.73            
Hall-Medina                        2           48674.22            21.0                97348.45            
Hale-Franklin                      2           44968.17            19.0                89936.34            
Gutierrez PLC                      2           14800.48            11.5                29600.95            
Group Williams                     2           6381.59             15.5                12763.19            
Group Roberts                      2           25693.64            14.0                51387.27            
Group Owens                        2           11124.84            16.0                22249.68            
Group Melendez                     2           36119.39            14.0                72238.79            
Group Mcfarland                    2           32763.27            23.0                65526.53            
Group Lynch                        2           8518.31             5.0                 17036.62            
Group Keller                       2           7542.48             22.0                15084.96            
Group Hill                         2           30160.52            22.0                60321.05            
Group Hernandez                    2           33984.4             15.5                67968.8             
Group Dorsey                       2           28074.89            2.0                 56149.78            
Group Davidson                     2           2499.42             13.0                4998.84             
Group Coleman                      2           8005.07             21.0                16010.14            
Group Cobb                         2           16264.29            13.0                32528.58            
Group Bennett                      2           49058.65            4.0                 98117.3             
Group Barnes                       2           37016.68            10.0                74033.35            
Group Anderson                     2           8488.79             22.0                16977.58            
Group Andersen                     2           3096.23             4.0                 6192.47             
Griffith-Jones                     2           7925.46             6.0                 15850.92            
Griffin-Walters                    2           33019.87            6.0                 66039.73            
Greene PLC                         2           45228.08            4.0                 90456.15            
Gray-Bond                          2           21288.97            30.0                42577.93            
Grant-Hall                         2           34699.91            25.0                69399.81            
Graham-Lloyd                       2           38863.37            11.0                77726.74            
Graham and Wheeler, Holt           2           7312.56             5.0                 14625.11            
Goodwin Ltd                        2           16128.25            28.0                32256.51            
Gonzalez-Pacheco                   2           21668.56            23.0                43337.13            
Gonzalez and Webb Perez,           2           38641.46            8.0                 77282.92            
Gonzalez and Stevens Ruiz,         2           34006.63            4.0                 68013.26            
Gonzalez Ltd                       2           44336.52            24.0                88673.03            
Gomez Inc                          2           34131.22            30.0                68262.44            
Gates and Brown Patel,             2           5132.05             13.0                10264.1             
Garrett PLC                        2           19696.58            9.5                 39393.16            
Garcia-Wells                       2           34150.13            13.0                68300.27            
Garcia LLC                         2           13283.4             2.0                 26566.81            
Garcia Bond, Rivera and            2           35279.19            7.0                 70558.38            
Fuentes Werner, Neal and           2           2416.39             12.0                4832.79             
Freeman Ltd                        2           31083.68            13.0                62167.36            
Frank-Mccann                       2           19184.25            7.0                 38368.51            
Frank, Lawson Craig and            2           21855.47            12.0                43710.94            
Foster, Gilbert Baldwin and        2           37008.56            19.0                74017.11            
Foster Inc                         2           48288.7             22.0                96577.4             
Fisher LLC                         2           8785.92             17.0                17571.84            
Ferrell-Hill                       2           5137.41             6.0                 10274.82            
Fernandez-Henderson                2           24218.84            18.0                48437.69            
Fernandez-Christian                2           48495.96            14.0                96991.93            
Ferguson-Obrien                    2           2833.59             14.0                5667.17             
Ewing-Valdez                       2           44396.28            11.0                88792.56            
Ellis-King                         2           17821.6             1.0                 35643.19            
Elliott Everett, Ruiz and          2           27769.8             15.0                55539.61            
Edwards-Cole                       2           49621.83            8.0                 99243.65            
Dunn-Gill                          2           29170.15            13.0                58340.31            
Drake Inc                          2           44983.3             25.0                89966.6             
Diaz-Bennett                       2           4776.8              11.0                9553.59             
Decker-Cardenas                    2           3588.93             23.0                7177.87             
Davis-Mays                         2           46518.91            21.0                93037.81            
Davis-Contreras                    2           5840.54             27.0                11681.09            
Davis-Bates                        2           50441.63            7.0                 100883.26           
Davis Wells, and Gonzalez          2           43002.19            10.0                86004.39            
Davis LLC                          2           13519.01            20.5                27038.02            
Davis Chung and Perez,             2           41844.4             14.0                83688.79            
Davidson Inc                       2           17387.04            5.5                 34774.09            
